start	end	type	unit	value	param
155269	155267	CommandNet>Relation			subject
155269	155264	CommandNet>Relation			subject
155270	10	has			
155270	45	has	usd	6.25	
155270	46	has		1	
155270	47	has		25	
155270	48	has		1	
155270	20	has		item	
155270	49	has		6.25	
155225	155270	says			
155224	155270	has_obtainable			
155270	155271	token			
155270	155273	has_token			
155270	155274	has_token			
155270	155275	has_token			
155270	155276	has_token			
155270	155277	has_token			
155270	155278	has_token			
155270	155279	has_token			
155271	155272	CommandNet>Relation			
155272	155273	CommandNet>Relation			
155272	155274	CommandNet>Relation			
155272	155279	CommandNet>Relation			
155272	155281	CommandNet>Relation			
155280	155278	CommandNet>Relation			subject
155280	155277	CommandNet>Relation			subject
155281	155280	CommandNet>Relation			object
155281	155275	CommandNet>Relation			subject
155281	155276	CommandNet>Relation			ignore
155282	10	has			
155282	45	has	usd	6.25	
155282	46	has		1	
155282	47	has		25	
155282	48	has		1	
155282	20	has		item	
155282	49	has		6.25	
155225	155282	says			
155224	155282	has_obtainable			
155282	155283	token			
155282	155285	has_token			
155282	155286	has_token			
155282	155287	has_token			
155282	155288	has_token			
155282	155289	has_token			
155282	155290	has_token			
155282	155291	has_token			
155282	155292	has_token			
155283	155284	CommandNet>Relation			
155284	155293	CommandNet>Relation			
155284	155285	CommandNet>Relation			
155284	155286	CommandNet>Relation			
155284	155287	CommandNet>Relation			
155284	155288	CommandNet>Relation			
155284	155289	CommandNet>Relation			
155284	155292	CommandNet>Relation			
155293	155290	CommandNet>Relation			subject
155293	155291	CommandNet>Relation			subject
155294	10	has			
155294	45	has	usd	6.25	
155294	46	has		1	
155294	47	has		25	
155294	48	has		1	
155294	20	has		item	
155294	49	has		6.25	
155225	155294	says			
155224	155294	has_obtainable			
155294	155295	token			
155294	155297	has_token			
155294	155298	has_token			
155294	155299	has_token			
155294	155300	has_token			
155294	155301	has_token			
155294	155302	has_token			
155294	155303	has_token			
155294	155304	has_token			
155295	155296	CommandNet>Relation			
155296	155305	CommandNet>Relation			
155296	155297	CommandNet>Relation			
155296	155298	CommandNet>Relation			
155296	155299	CommandNet>Relation			
155296	155300	CommandNet>Relation			
155296	155301	CommandNet>Relation			
155296	155304	CommandNet>Relation			
155305	155302	CommandNet>Relation			subject
155305	155303	CommandNet>Relation			subject
155306	10	has			
155306	45	has	usd	6.25	
155306	46	has		1	
155306	47	has		25	
155306	48	has		1	
155306	20	has		item	
155306	49	has		6.25	
155225	155306	says			
155224	155306	has_obtainable			
155306	155307	token			
155306	155309	has_token			
155306	155310	has_token			
155306	155311	has_token			
155306	155312	has_token			
155306	155313	has_token			
155306	155314	has_token			
155306	155315	has_token			
155306	155316	has_token			
155307	155308	CommandNet>Relation			
155308	155317	CommandNet>Relation			
155308	155309	CommandNet>Relation			
155308	155310	CommandNet>Relation			
155308	155311	CommandNet>Relation			
155308	155313	CommandNet>Relation			
155308	155314	CommandNet>Relation			
155308	155316	CommandNet>Relation			
155317	155315	CommandNet>Relation			subject
155317	155312	CommandNet>Relation			subject
155318	10	has		Hot and Spicy!	
155318	45	has	usd	6.25	
155318	46	has		1	
155318	47	has		25	
155318	48	has		1	
155318	20	has		item	
155318	49	has		6.25	
155225	155318	says			
155224	155318	has_obtainable			
155318	155319	token			
155318	155321	has_token			
155318	155322	has_token			
155318	155323	has_token			
155318	155324	has_token			
155318	155325	has_token			
155318	155326	has_token			
155319	155320	CommandNet>Relation			
155320	155327	CommandNet>Relation			
155320	155321	CommandNet>Relation			
155320	155322	CommandNet>Relation			
155320	155323	CommandNet>Relation			
155320	155326	CommandNet>Relation			
155327	155324	CommandNet>Relation			subject
155327	155325	CommandNet>Relation			subject
155328	10	has		Hot and Spicy!	
155328	45	has	usd	6.25	
155328	46	has		1	
155328	47	has		25	
155328	48	has		1	
155328	20	has		item	
155328	49	has		6.25	
155225	155328	says			
155224	155328	has_obtainable			
155328	155329	token			
155328	155331	has_token			
155328	155332	has_token			
155328	155333	has_token			
155328	155334	has_token			
155328	155335	has_token			
155328	155336	has_token			
155328	155337	has_token			
155328	155338	has_token			
155329	155330	CommandNet>Relation			
155330	155331	CommandNet>Relation			
155330	155332	CommandNet>Relation			
155330	155338	CommandNet>Relation			
155330	155340	CommandNet>Relation			
155339	155336	CommandNet>Relation			subject
155339	155337	CommandNet>Relation			subject
155339	155335	CommandNet>Relation			subject
155340	155339	CommandNet>Relation			object
155340	155333	CommandNet>Relation			subject
155340	155334	CommandNet>Relation			ignore
155341	10	has			
155341	45	has	usd	6.25	
155341	46	has		1	
155341	47	has		25	
155341	48	has		1	
155341	20	has		item	
155341	49	has		6.25	
155225	155341	says			
155224	155341	has_obtainable			
155341	155342	token			
155341	155344	has_token			
155341	155345	has_token			
155341	155346	has_token			
155341	155347	has_token			
155341	155348	has_token			
155341	155349	has_token			
155341	155350	has_token			
155341	155351	has_token			
155342	155343	CommandNet>Relation			
155343	155344	CommandNet>Relation			
155343	155345	CommandNet>Relation			
155343	155349	CommandNet>Relation			
155343	155351	CommandNet>Relation			
155343	155353	CommandNet>Relation			
155352	155350	CommandNet>Relation			subject
155352	155348	CommandNet>Relation			subject
155353	155352	CommandNet>Relation			object
155353	155346	CommandNet>Relation			subject
155353	155347	CommandNet>Relation			ignore
155354	10	has		Hot and Spicy!	
155354	45	has	usd	6.25	
155354	46	has		1	
155354	47	has		25	
155354	48	has		1	
155354	20	has		item	
155354	49	has		6.25	
155225	155354	says			
155224	155354	has_obtainable			
155354	155355	token			
155354	155357	has_token			
155354	155358	has_token			
155354	155359	has_token			
155354	155360	has_token			
155354	155361	has_token			
155354	155362	has_token			
155354	155363	has_token			
155355	155356	CommandNet>Relation			
155356	155364	CommandNet>Relation			
155356	155357	CommandNet>Relation			
155356	155358	CommandNet>Relation			
155356	155359	CommandNet>Relation			
155356	155360	CommandNet>Relation			
155356	155363	CommandNet>Relation			
155364	155362	CommandNet>Relation			subject
155364	155361	CommandNet>Relation			subject
155365	10	has			
155365	45	has	usd	6.55	
155365	46	has		1	
155365	47	has		25	
155365	48	has		1	
155365	20	has		item	
155365	49	has		6.55	
155225	155365	says			
155224	155365	has_obtainable			
155365	155366	token			
155365	155368	has_token			
155365	155369	has_token			
155365	155370	has_token			
155365	155371	has_token			
155365	155372	has_token			
155365	155373	has_token			
155366	155367	CommandNet>Relation			
155367	155374	CommandNet>Relation			
155367	155368	CommandNet>Relation			
155367	155369	CommandNet>Relation			
155367	155373	CommandNet>Relation			
155374	155370	CommandNet>Relation			subject
155374	155371	CommandNet>Relation			subject
155374	155372	CommandNet>Relation			subject
155375	10	has		Hot and Spicy!	
155375	45	has	usd	6.55	
155375	46	has		1	
155375	47	has		25	
155375	48	has		1	
155375	20	has		item	
155375	49	has		6.55	
155225	155375	says			
155224	155375	has_obtainable			
155375	155376	token			
155375	155378	has_token			
155375	155379	has_token			
155375	155380	has_token			
155375	155381	has_token			
155375	155382	has_token			
155375	155383	has_token			
155376	155377	CommandNet>Relation			
155377	155384	CommandNet>Relation			
155377	155378	CommandNet>Relation			
155377	155379	CommandNet>Relation			
155377	155383	CommandNet>Relation			
155384	155380	CommandNet>Relation			subject
155384	155381	CommandNet>Relation			subject
155384	155382	CommandNet>Relation			subject
155385	10	has		Hot and Spicy!	
155385	45	has	usd	6.55	
155385	46	has		1	
155385	47	has		25	
155385	48	has		1	
155385	20	has		item	
155385	49	has		6.55	
155225	155385	says			
155224	155385	has_obtainable			
155385	155386	token			
155385	155388	has_token			
155385	155389	has_token			
155385	155390	has_token			
155385	155391	has_token			
155385	155392	has_token			
155385	155393	has_token			
155385	155394	has_token			
155386	155387	CommandNet>Relation			
155387	155395	CommandNet>Relation			
155387	155388	CommandNet>Relation			
155387	155389	CommandNet>Relation			
155387	155390	CommandNet>Relation			
155387	155391	CommandNet>Relation			
155387	155394	CommandNet>Relation			
155395	155393	CommandNet>Relation			subject
155395	155392	CommandNet>Relation			subject
155396	10	has			
155396	45	has	usd	6.55	
155396	46	has		1	
155396	47	has		25	
155396	48	has		1	
155396	20	has		item	
155396	49	has		6.55	
155225	155396	says			
155224	155396	has_obtainable			
155396	155397	token			
155396	155399	has_token			
155396	155400	has_token			
155396	155401	has_token			
155396	155402	has_token			
155396	155403	has_token			
155396	155404	has_token			
155396	155405	has_token			
155397	155398	CommandNet>Relation			
155398	155399	CommandNet>Relation			
155398	155400	CommandNet>Relation			
155398	155405	CommandNet>Relation			
155398	155407	CommandNet>Relation			
155406	155404	CommandNet>Relation			subject
155406	155403	CommandNet>Relation			subject
155407	155406	CommandNet>Relation			object
155407	155401	CommandNet>Relation			subject
155407	155402	CommandNet>Relation			ignore
155408	10	has		With broccoli and carrots.	
155408	45	has	usd	6.25	
155408	46	has		1	
155408	47	has		25	
155408	48	has		1	
155408	20	has		item	
155408	49	has		6.25	
155225	155408	says			
155224	155408	has_obtainable			
155408	155409	token			
155408	155411	has_token			
155408	155412	has_token			
155408	155413	has_token			
155408	155414	has_token			
155408	155415	has_token			
155408	155416	has_token			
155408	155417	has_token			
155408	155418	has_token			
155409	155410	CommandNet>Relation			
155410	155420	CommandNet>Relation			
155410	155411	CommandNet>Relation			
155410	155412	CommandNet>Relation			
155410	155415	CommandNet>Relation			
155410	155418	CommandNet>Relation			
155419	155416	CommandNet>Relation			subject
155419	155417	CommandNet>Relation			subject
155420	155419	CommandNet>Relation			object
155420	155413	CommandNet>Relation			subject
155420	155414	CommandNet>Relation			ignore
155421	10	has		Hot and Spicy!	
155421	45	has	usd	6.55	
155421	46	has		1	
155421	47	has		25	
155421	48	has		1	
155421	20	has		item	
155421	49	has		6.55	
155225	155421	says			
155224	155421	has_obtainable			
155421	155422	token			
155421	155424	has_token			
155421	155425	has_token			
155421	155426	has_token			
155421	155427	has_token			
155421	155428	has_token			
155421	155429	has_token			
155422	155423	CommandNet>Relation			
155423	155430	CommandNet>Relation			
155423	155424	CommandNet>Relation			
155423	155425	CommandNet>Relation			
155423	155426	CommandNet>Relation			
155423	155429	CommandNet>Relation			
155430	155427	CommandNet>Relation			subject
155430	155428	CommandNet>Relation			subject
155431	10	has			
155431	45	has	usd	6.55	
155431	46	has		1	
155431	47	has		25	
155431	48	has		1	
155431	20	has		item	
155431	49	has		6.55	
155225	155431	says			
155224	155431	has_obtainable			
155431	155432	token			
155431	155434	has_token			
155431	155435	has_token			
155431	155436	has_token			
155431	155437	has_token			
155431	155438	has_token			
155431	155439	has_token			
155431	155440	has_token			
155431	155441	has_token			
155432	155433	CommandNet>Relation			
155433	155443	CommandNet>Relation			
155433	155434	CommandNet>Relation			
155433	155435	CommandNet>Relation			
155433	155436	CommandNet>Relation			
155433	155441	CommandNet>Relation			
155442	155439	CommandNet>Relation			subject
155442	155440	CommandNet>Relation			subject
155443	155442	CommandNet>Relation			object
155443	155437	CommandNet>Relation			subject
155443	155438	CommandNet>Relation			ignore
155444	10	has			
155444	45	has	usd	6.25	
155444	46	has		1	
155444	47	has		25	
155444	48	has		1	
155444	20	has		item	
155444	49	has		6.25	
155225	155444	says			
155224	155444	has_obtainable			
155444	155445	token			
155444	155447	has_token			
155444	155448	has_token			
155444	155449	has_token			
155444	155450	has_token			
155444	155451	has_token			
155444	155452	has_token			
155444	155453	has_token			
155444	155454	has_token			
155445	155446	CommandNet>Relation			
155446	155455	CommandNet>Relation			
155446	155447	CommandNet>Relation			
155446	155448	CommandNet>Relation			
155446	155450	CommandNet>Relation			
155446	155451	CommandNet>Relation			
155446	155452	CommandNet>Relation			
155446	155454	CommandNet>Relation			
155455	155453	CommandNet>Relation			subject
155455	155449	CommandNet>Relation			subject
155456	10	has			
155456	45	has	usd	6.25	
155456	46	has		1	
155456	47	has		25	
155456	48	has		1	
155456	20	has		item	
155456	49	has		6.25	
155225	155456	says			
155224	155456	has_obtainable			
155456	155457	token			
155456	155459	has_token			
155456	155460	has_token			
155456	155461	has_token			
155456	155462	has_token			
155456	155463	has_token			
155456	155464	has_token			
155456	155465	has_token			
155456	155466	has_token			
155457	155458	CommandNet>Relation			
155458	155467	CommandNet>Relation			
155458	155459	CommandNet>Relation			
155458	155460	CommandNet>Relation			
155458	155462	CommandNet>Relation			
155458	155463	CommandNet>Relation			
155458	155464	CommandNet>Relation			
155458	155466	CommandNet>Relation			
155467	155465	CommandNet>Relation			subject
155467	155461	CommandNet>Relation			subject
155468	10	has		With broccoli, carrots and onions.	
155468	45	has	usd	6.25	
155468	46	has		1	
155468	47	has		25	
155468	48	has		1	
155468	20	has		item	
155468	49	has		6.25	
155225	155468	says			
155224	155468	has_obtainable			
155468	155469	token			
155468	155471	has_token			
155468	155472	has_token			
155468	155473	has_token			
155468	155474	has_token			
155468	155475	has_token			
155468	155476	has_token			
155469	155470	CommandNet>Relation			
155470	155471	CommandNet>Relation			
155470	155472	CommandNet>Relation			
155470	155473	CommandNet>Relation			
155470	155474	CommandNet>Relation			
155470	155475	CommandNet>Relation			
155470	155476	CommandNet>Relation			
155477	10	has		Hot and Spicy!	
155477	45	has	usd	6.25	
155477	46	has		1	
155477	47	has		25	
155477	48	has		1	
155477	20	has		item	
155477	49	has		6.25	
155225	155477	says			
155224	155477	has_obtainable			
155477	155478	token			
155477	155480	has_token			
155477	155481	has_token			
155477	155482	has_token			
155477	155483	has_token			
155477	155484	has_token			
155477	155485	has_token			
155477	155486	has_token			
155478	155479	CommandNet>Relation			
155479	155487	CommandNet>Relation			
155479	155480	CommandNet>Relation			
155479	155481	CommandNet>Relation			
155479	155482	CommandNet>Relation			
155479	155483	CommandNet>Relation			
155479	155486	CommandNet>Relation			
155487	155485	CommandNet>Relation			subject
155487	155484	CommandNet>Relation			subject
155488	10	has		Hot and Spicy!	
155488	45	has	usd	6.25	
155488	46	has		1	
155488	47	has		25	
155488	48	has		1	
155488	20	has		item	
155488	49	has		6.25	
155225	155488	says			
155224	155488	has_obtainable			
155488	155489	token			
155488	155491	has_token			
155488	155492	has_token			
155488	155493	has_token			
155488	155494	has_token			
155488	155495	has_token			
155488	155496	has_token			
155488	155497	has_token			
155488	155498	has_token			
155488	155499	has_token			
155489	155490	CommandNet>Relation			
155490	155500	CommandNet>Relation			
155490	155491	CommandNet>Relation			
155490	155492	CommandNet>Relation			
155490	155493	CommandNet>Relation			
155490	155499	CommandNet>Relation			
155500	155501	CommandNet>Relation			object
155500	155494	CommandNet>Relation			subject
155500	155495	CommandNet>Relation			ignore
155501	155496	CommandNet>Relation			subject
155501	155497	CommandNet>Relation			subject
155501	155498	CommandNet>Relation			subject
155502	10	has			
155502	45	has	usd	6.25	
155502	46	has		1	
155502	47	has		25	
155502	48	has		1	
155502	20	has		item	
155502	49	has		6.25	
155225	155502	says			
155224	155502	has_obtainable			
155502	155503	token			
155502	155505	has_token			
155502	155506	has_token			
155502	155507	has_token			
155502	155508	has_token			
155502	155509	has_token			
155502	155510	has_token			
155502	155511	has_token			
155502	155512	has_token			
155503	155504	CommandNet>Relation			
155504	155514	CommandNet>Relation			
155504	155505	CommandNet>Relation			
155504	155506	CommandNet>Relation			
155504	155509	CommandNet>Relation			
155504	155512	CommandNet>Relation			
155513	155510	CommandNet>Relation			subject
155513	155511	CommandNet>Relation			subject
155514	155513	CommandNet>Relation			object
155514	155507	CommandNet>Relation			subject
155514	155508	CommandNet>Relation			ignore
155515	10	has		With broccoli, carrots and onions.	
155515	45	has	usd	6.25	
155515	46	has		1	
155515	47	has		25	
155515	48	has		1	
155515	20	has		item	
155515	49	has		6.25	
155225	155515	says			
155224	155515	has_obtainable			
155515	155516	token			
155515	155518	has_token			
155515	155519	has_token			
155515	155520	has_token			
155515	155521	has_token			
155515	155522	has_token			
155515	155523	has_token			
155515	155524	has_token			
155515	155525	has_token			
155516	155517	CommandNet>Relation			
155517	155518	CommandNet>Relation			
155517	155519	CommandNet>Relation			
155517	155525	CommandNet>Relation			
155517	155528	CommandNet>Relation			
155526	155523	CommandNet>Relation			subject
155526	155524	CommandNet>Relation			subject
155527	155520	CommandNet>Relation			subject
155527	155521	CommandNet>Relation			subject
155528	155526	CommandNet>Relation			object
155528	155527	CommandNet>Relation			subject
155528	155522	CommandNet>Relation			ignore
155529	10	has		Hot and Spicy!	
155529	45	has	usd	6.25	
155529	46	has		1	
155529	47	has		25	
155529	48	has		1	
155529	20	has		item	
155529	49	has		6.25	
155225	155529	says			
155224	155529	has_obtainable			
155529	155530	token			
155529	155532	has_token			
155529	155533	has_token			
155529	155534	has_token			
155529	155535	has_token			
155529	155536	has_token			
155529	155537	has_token			
155529	155538	has_token			
155529	155539	has_token			
155530	155531	CommandNet>Relation			
155531	155532	CommandNet>Relation			
155531	155533	CommandNet>Relation			
155531	155539	CommandNet>Relation			
155531	155541	CommandNet>Relation			
155540	155537	CommandNet>Relation			subject
155540	155538	CommandNet>Relation			subject
155540	155536	CommandNet>Relation			subject
155541	155540	CommandNet>Relation			object
155541	155534	CommandNet>Relation			subject
155541	155535	CommandNet>Relation			ignore
155542	10	has			
155542	45	has	usd	6.55	
155542	46	has		1	
155542	47	has		25	
155542	48	has		1	
155542	20	has		item	
155542	49	has		6.55	
155225	155542	says			
155224	155542	has_obtainable			
155542	155543	token			
155542	155545	has_token			
155542	155546	has_token			
155542	155547	has_token			
155542	155548	has_token			
155542	155549	has_token			
155542	155550	has_token			
155542	155551	has_token			
155543	155544	CommandNet>Relation			
155544	155545	CommandNet>Relation			
155544	155546	CommandNet>Relation			
155544	155551	CommandNet>Relation			
155544	155553	CommandNet>Relation			
155552	155550	CommandNet>Relation			subject
155552	155549	CommandNet>Relation			subject
155553	155552	CommandNet>Relation			object
155553	155547	CommandNet>Relation			subject
155553	155548	CommandNet>Relation			ignore
155554	10	has		With broccoli, carrots and onions.	
155554	45	has	usd	6.55	
155554	46	has		1	
155554	47	has		25	
155554	48	has		1	
155554	20	has		item	
155554	49	has		6.55	
155225	155554	says			
155224	155554	has_obtainable			
155554	155555	token			
155554	155557	has_token			
155554	155558	has_token			
155554	155559	has_token			
155554	155560	has_token			
155554	155561	has_token			
155554	155562	has_token			
155554	155563	has_token			
155554	155564	has_token			
155555	155556	CommandNet>Relation			
155556	155566	CommandNet>Relation			
155556	155557	CommandNet>Relation			
155556	155558	CommandNet>Relation			
155556	155561	CommandNet>Relation			
155556	155564	CommandNet>Relation			
155565	155562	CommandNet>Relation			subject
155565	155563	CommandNet>Relation			subject
155566	155565	CommandNet>Relation			object
155566	155559	CommandNet>Relation			subject
155566	155560	CommandNet>Relation			ignore
155567	10	has		Hot and Spicy!	
155567	45	has	usd	6.55	
155567	46	has		1	
155567	47	has		25	
155567	48	has		1	
155567	20	has		item	
155567	49	has		6.55	
155225	155567	says			
155224	155567	has_obtainable			
155567	155568	token			
155567	155570	has_token			
155567	155571	has_token			
155567	155572	has_token			
155567	155573	has_token			
155567	155574	has_token			
155567	155575	has_token			
155567	155576	has_token			
155568	155569	CommandNet>Relation			
155569	155577	CommandNet>Relation			
155569	155570	CommandNet>Relation			
155569	155571	CommandNet>Relation			
155569	155572	CommandNet>Relation			
155569	155573	CommandNet>Relation			
155569	155576	CommandNet>Relation			
155577	155575	CommandNet>Relation			subject
155577	155574	CommandNet>Relation			subject
155578	10	has			
155578	45	has	usd	6.95	
155578	46	has		1	
155578	47	has		25	
155578	48	has		1	
155578	20	has		item	
155578	49	has		6.95	
155225	155578	says			
155224	155578	has_obtainable			
155578	155579	token			
155578	155581	has_token			
155578	155582	has_token			
155578	155583	has_token			
155578	155584	has_token			
155578	155585	has_token			
155578	155586	has_token			
155578	155587	has_token			
155578	155588	has_token			
155578	155589	has_token			
155578	155590	has_token			
155579	155580	CommandNet>Relation			
155580	155581	CommandNet>Relation			
155580	155582	CommandNet>Relation			
155580	155590	CommandNet>Relation			
155580	155592	CommandNet>Relation			
155591	155583	CommandNet>Relation			subject
155591	155584	CommandNet>Relation			
155591	155585	CommandNet>Relation			subject
155592	155586	CommandNet>Relation			ignore
155592	155593	CommandNet>Relation			object
155592	155591	CommandNet>Relation			subject
155593	155587	CommandNet>Relation			subject
155593	155588	CommandNet>Relation			subject
155593	155589	CommandNet>Relation			subject
155594	10	has			
155594	45	has	usd	6.95	
155594	46	has		1	
155594	47	has		25	
155594	48	has		1	
155594	20	has		item	
155594	49	has		6.95	
155225	155594	says			
155224	155594	has_obtainable			
155594	155595	token			
155594	155597	has_token			
155594	155598	has_token			
155594	155599	has_token			
155594	155600	has_token			
155594	155601	has_token			
155594	155602	has_token			
155594	155603	has_token			
155594	155604	has_token			
155594	155605	has_token			
155595	155596	CommandNet>Relation			
155596	155597	CommandNet>Relation			
155596	155598	CommandNet>Relation			
155596	155605	CommandNet>Relation			
155596	155607	CommandNet>Relation			
155606	155599	CommandNet>Relation			subject
155606	155600	CommandNet>Relation			
155606	155601	CommandNet>Relation			subject
155607	155602	CommandNet>Relation			ignore
155607	155608	CommandNet>Relation			object
155607	155606	CommandNet>Relation			subject
155608	155603	CommandNet>Relation			subject
155608	155604	CommandNet>Relation			subject
155609	10	has			
155609	45	has	usd	6.95	
155609	46	has		1	
155609	47	has		25	
155609	48	has		1	
155609	20	has		item	
155609	49	has		6.95	
155225	155609	says			
155224	155609	has_obtainable			
155609	155610	token			
155609	155612	has_token			
155609	155613	has_token			
155609	155614	has_token			
155609	155615	has_token			
155609	155616	has_token			
155609	155617	has_token			
155609	155618	has_token			
155609	155619	has_token			
155609	155620	has_token			
155609	155621	has_token			
155610	155611	CommandNet>Relation			
155611	155623	CommandNet>Relation			
155611	155622	CommandNet>Relation			
155611	155612	CommandNet>Relation			
155611	155613	CommandNet>Relation			
155611	155617	CommandNet>Relation			
155611	155621	CommandNet>Relation			
155622	155614	CommandNet>Relation			subject
155622	155615	CommandNet>Relation			
155622	155616	CommandNet>Relation			subject
155623	155618	CommandNet>Relation			subject
155623	155619	CommandNet>Relation			subject
155623	155620	CommandNet>Relation			subject
155624	10	has		Pork, shrimp and chicken. Hot and Spicy!	
155624	45	has	usd	6.45	
155624	46	has		1	
155624	47	has		25	
155624	48	has		1	
155624	20	has		item	
155624	49	has		6.45	
155225	155624	says			
155224	155624	has_obtainable			
155624	155625	token			
155624	155627	has_token			
155624	155628	has_token			
155624	155629	has_token			
155624	155630	has_token			
155624	155631	has_token			
155624	155632	has_token			
155625	155626	CommandNet>Relation			
155626	155627	CommandNet>Relation			
155626	155628	CommandNet>Relation			
155626	155629	CommandNet>Relation			
155626	155630	CommandNet>Relation			
155626	155631	CommandNet>Relation			
155626	155632	CommandNet>Relation			
155633	20	has		menu	
155633	10	has			
155224	155633	contains_group			
155634	10	has			
155634	45	has	usd	2.85	
155634	46	has		1	
155634	47	has		25	
155634	48	has		1	
155634	20	has		item	
155634	49	has		2.85	
155633	155634	says			
155224	155634	has_obtainable			
155634	155635	token			
155634	155637	has_token			
155634	155638	has_token			
155634	155639	has_token			
155634	155640	has_token			
155634	155641	has_token			
155635	155636	CommandNet>Relation			
155636	155642	CommandNet>Relation			
155636	155638	CommandNet>Relation			
155636	155640	CommandNet>Relation			
155636	155641	CommandNet>Relation			
155642	155637	CommandNet>Relation			object
155642	155639	CommandNet>Relation			subject
155643	10	has			
155643	45	has	usd	2.85	
155643	46	has		1	
155643	47	has		25	
155643	48	has		1	
155643	20	has		item	
155643	49	has		2.85	
155633	155643	says			
155224	155643	has_obtainable			
155643	155644	token			
155643	155646	has_token			
155643	155647	has_token			
155643	155648	has_token			
155643	155649	has_token			
155643	155650	has_token			
155644	155645	CommandNet>Relation			
155645	155646	CommandNet>Relation			
155645	155647	CommandNet>Relation			
155645	155648	CommandNet>Relation			
